Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2023,1,el Raval,1494,1
2023,1,el Raval,665,2
2023,1,el Raval,61,3
2023,1,el Raval,130,4
2023,1,el Raval,86,5
2023,1,el Raval,83,6
2023,1,el Raval,84,7
2023,1,el Raval,113,8
2023,1,el Raval,154,9
2023,1,el Raval,212,10
2023,1,el Raval,349,11
2023,1,el Raval,10,12
2023,1,el Raval,70,13
2023,1,el Raval,38,14
2023,1,el Raval,48,15
2023,1,el Raval,43,16
2023,1,el Raval,68,17
2023,1,el Raval,122,18
2023,1,el Raval,34,19
2023,1,el Raval,14,20
2023,1,el Raval,15,21
2023,1,el Raval,5,22
2023,1,el Raval,21,23
2023,1,el Raval,6,24
2023,1,el Raval,20,25
2023,1,el Raval,35,26
2023,1,el Raval,35,27
2023,1,el Raval,22,28
2023,1,el Raval,25,29
2023,1,el Raval,18,30
2023,1,el Raval,130,31
2023,1,el Raval,51,32
2023,1,el Raval,40,33
2023,1,el Raval,..,34
2023,1,el Raval,50,35
2023,1,el Raval,..,36
2023,1,el Raval,32,37
2023,1,el Raval,26,38
2023,1,el Raval,8,39
2023,1,el Raval,..,40
2023,1,el Raval,9,41
2023,1,el Raval,20,43
2023,1,el Raval,30,44
2023,1,el Raval,46,45
2023,1,el Raval,14,46
2023,1,el Raval,..,47
2023,1,el Raval,17,48
2023,1,el Raval,..,49
2023,1,el Raval,41,50
2023,1,el Raval,30,51
2023,1,el Raval,33,52
2023,1,el Raval,8,53
2023,1,el Raval,6,54
2023,1,el Raval,7,55
2023,1,el Raval,19,57
2023,1,el Raval,18,59
2023,1,el Raval,51,60
2023,1,el Raval,32,61
2023,1,el Raval,16,62
2023,1,el Raval,28,63
2023,1,el Raval,80,64
2023,1,el Raval,22,65
2023,1,el Raval,32,66
2023,1,el Raval,7,67
2023,1,el Raval,57,68
2023,1,el Raval,6,69
2023,1,el Raval,86,70
2023,1,el Raval,16,71
2023,1,el Raval,24,72
2023,1,el Raval,32,73
2023,2,el Barri Gòtic,426,1
2023,2,el Barri Gòtic,317,2
2023,2,el Barri Gòtic,69,3
2023,2,el Barri Gòtic,142,4
2023,2,el Barri Gòtic,64,5
2023,2,el Barri Gòtic,72,6
2023,2,el Barri Gòtic,79,7
2023,2,el Barri Gòtic,84,8
2023,2,el Barri Gòtic,56,9
2023,2,el Barri Gòtic,86,10
2023,2,el Barri Gòtic,132,11
2023,2,el Barri Gòtic,9,12
2023,2,el Barri Gòtic,19,13
2023,2,el Barri Gòtic,..,14
2023,2,el Barri Gòtic,19,15
2023,2,el Barri Gòtic,13,16
2023,2,el Barri Gòtic,28,17
2023,2,el Barri Gòtic,48,18
2023,2,el Barri Gòtic,21,19
2023,2,el Barri Gòtic,19,20
2023,2,el Barri Gòtic,13,21
2023,2,el Barri Gòtic,..,22
2023,2,el Barri Gòtic,14,23
2023,2,el Barri Gòtic,13,24
2023,2,el Barri Gòtic,9,25
2023,2,el Barri Gòtic,23,26
2023,2,el Barri Gòtic,31,27
2023,2,el Barri Gòtic,14,28
2023,2,el Barri Gòtic,9,29
2023,2,el Barri Gòtic,5,30
2023,2,el Barri Gòtic,64,31
2023,2,el Barri Gòtic,52,32
2023,2,el Barri Gòtic,15,33
2023,2,el Barri Gòtic,..,34
2023,2,el Barri Gòtic,14,35
2023,2,el Barri Gòtic,..,36
2023,2,el Barri Gòtic,40,37
2023,2,el Barri Gòtic,8,38
2023,2,el Barri Gòtic,..,39
2023,2,el Barri Gòtic,..,40
2023,2,el Barri Gòtic,..,41
2023,2,el Barri Gòtic,33,43
2023,2,el Barri Gòtic,19,44
2023,2,el Barri Gòtic,29,45
2023,2,el Barri Gòtic,20,46
2023,2,el Barri Gòtic,..,47
2023,2,el Barri Gòtic,13,48
2023,2,el Barri Gòtic,10,50
2023,2,el Barri Gòtic,13,51
2023,2,el Barri Gòtic,8,52
2023,2,el Barri Gòtic,5,53
2023,2,el Barri Gòtic,..,54
2023,2,el Barri Gòtic,8,55
2023,2,el Barri Gòtic,8,57
2023,2,el Barri Gòtic,9,59
2023,2,el Barri Gòtic,28,60
2023,2,el Barri Gòtic,16,61
2023,2,el Barri Gòtic,11,62
2023,2,el Barri Gòtic,17,63
2023,2,el Barri Gòtic,44,64
2023,2,el Barri Gòtic,17,65
2023,2,el Barri Gòtic,24,66
2023,2,el Barri Gòtic,6,67
2023,2,el Barri Gòtic,33,68
2023,2,el Barri Gòtic,..,69
2023,2,el Barri Gòtic,64,70
2023,2,el Barri Gòtic,11,71
2023,2,el Barri Gòtic,18,72
2023,2,el Barri Gòtic,15,73
2023,3,la Barceloneta,59,1
2023,3,la Barceloneta,96,2
2023,3,la Barceloneta,334,3
2023,3,la Barceloneta,40,4
2023,3,la Barceloneta,43,5
2023,3,la Barceloneta,42,6
2023,3,la Barceloneta,26,7
2023,3,la Barceloneta,32,8
2023,3,la Barceloneta,24,9
2023,3,la Barceloneta,38,10
2023,3,la Barceloneta,43,11
2023,3,la Barceloneta,..,12
2023,3,la Barceloneta,8,13
2023,3,la Barceloneta,..,14
2023,3,la Barceloneta,12,15
2023,3,la Barceloneta,8,16
2023,3,la Barceloneta,6,17
2023,3,la Barceloneta,30,18
2023,3,la Barceloneta,16,19
2023,3,la Barceloneta,7,20
2023,3,la Barceloneta,..,21
2023,3,la Barceloneta,6,23
2023,3,la Barceloneta,..,24
2023,3,la Barceloneta,..,25
2023,3,la Barceloneta,8,26
2023,3,la Barceloneta,9,27
2023,3,la Barceloneta,8,28
2023,3,la Barceloneta,8,29
2023,3,la Barceloneta,..,30
2023,3,la Barceloneta,29,31
2023,3,la Barceloneta,30,32
2023,3,la Barceloneta,8,33
2023,3,la Barceloneta,..,34
2023,3,la Barceloneta,..,35
2023,3,la Barceloneta,..,36
2023,3,la Barceloneta,14,37
2023,3,la Barceloneta,..,40
2023,3,la Barceloneta,..,41
2023,3,la Barceloneta,..,43
2023,3,la Barceloneta,..,44
2023,3,la Barceloneta,11,45
2023,3,la Barceloneta,..,46
2023,3,la Barceloneta,..,47
2023,3,la Barceloneta,..,48
2023,3,la Barceloneta,..,49
2023,3,la Barceloneta,..,50
2023,3,la Barceloneta,..,51
2023,3,la Barceloneta,13,52
2023,3,la Barceloneta,8,53
2023,3,la Barceloneta,..,55
2023,3,la Barceloneta,5,57
2023,3,la Barceloneta,..,58
2023,3,la Barceloneta,14,59
2023,3,la Barceloneta,21,60
2023,3,la Barceloneta,6,61
2023,3,la Barceloneta,9,62
2023,3,la Barceloneta,11,63
2023,3,la Barceloneta,16,64
2023,3,la Barceloneta,19,65
2023,3,la Barceloneta,29,66
2023,3,la Barceloneta,9,67
2023,3,la Barceloneta,48,68
2023,3,la Barceloneta,11,69
2023,3,la Barceloneta,37,70
2023,3,la Barceloneta,7,71
2023,3,la Barceloneta,13,72
2023,3,la Barceloneta,19,73
2023,4,"Sant Pere, Santa Caterina i la Ribera",132,1
2023,4,"Sant Pere, Santa Caterina i la Ribera",150,2
2023,4,"Sant Pere, Santa Caterina i la Ribera",65,3
2023,4,"Sant Pere, Santa Caterina i la Ribera",280,4
2023,4,"Sant Pere, Santa Caterina i la Ribera",84,5
2023,4,"Sant Pere, Santa Caterina i la Ribera",62,6
2023,4,"Sant Pere, Santa Caterina i la Ribera",99,7
2023,4,"Sant Pere, Santa Caterina i la Ribera",46,8
2023,4,"Sant Pere, Santa Caterina i la Ribera",66,9
2023,4,"Sant Pere, Santa Caterina i la Ribera",71,10
2023,4,"Sant Pere, Santa Caterina i la Ribera",65,11
2023,4,"Sant Pere, Santa Caterina i la Ribera",7,12
2023,4,"Sant Pere, Santa Caterina i la Ribera",15,13
2023,4,"Sant Pere, Santa Caterina i la Ribera",13,14
2023,4,"Sant Pere, Santa Caterina i la Ribera",25,15
2023,4,"Sant Pere, Santa Caterina i la Ribera",10,16
2023,4,"Sant Pere, Santa Caterina i la Ribera",18,17
2023,4,"Sant Pere, Santa Caterina i la Ribera",38,18
2023,4,"Sant Pere, Santa Caterina i la Ribera",14,19
2023,4,"Sant Pere, Santa Caterina i la Ribera",12,20
2023,4,"Sant Pere, Santa Caterina i la Ribera",5,21
2023,4,"Sant Pere, Santa Caterina i la Ribera",11,22
2023,4,"Sant Pere, Santa Caterina i la Ribera",17,23
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,24
2023,4,"Sant Pere, Santa Caterina i la Ribera",12,25
2023,4,"Sant Pere, Santa Caterina i la Ribera",35,26
2023,4,"Sant Pere, Santa Caterina i la Ribera",19,27
2023,4,"Sant Pere, Santa Caterina i la Ribera",13,28
2023,4,"Sant Pere, Santa Caterina i la Ribera",6,29
2023,4,"Sant Pere, Santa Caterina i la Ribera",5,30
2023,4,"Sant Pere, Santa Caterina i la Ribera",53,31
2023,4,"Sant Pere, Santa Caterina i la Ribera",53,32
2023,4,"Sant Pere, Santa Caterina i la Ribera",26,33
2023,4,"Sant Pere, Santa Caterina i la Ribera",10,34
2023,4,"Sant Pere, Santa Caterina i la Ribera",19,35
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,36
2023,4,"Sant Pere, Santa Caterina i la Ribera",25,37
2023,4,"Sant Pere, Santa Caterina i la Ribera",14,38
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,39
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,40
2023,4,"Sant Pere, Santa Caterina i la Ribera",9,41
2023,4,"Sant Pere, Santa Caterina i la Ribera",20,43
2023,4,"Sant Pere, Santa Caterina i la Ribera",13,44
2023,4,"Sant Pere, Santa Caterina i la Ribera",6,45
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,46
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,48
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,49
2023,4,"Sant Pere, Santa Caterina i la Ribera",8,50
2023,4,"Sant Pere, Santa Caterina i la Ribera",17,51
2023,4,"Sant Pere, Santa Caterina i la Ribera",15,52
2023,4,"Sant Pere, Santa Caterina i la Ribera",7,53
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,55
2023,4,"Sant Pere, Santa Caterina i la Ribera",7,57
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,58
2023,4,"Sant Pere, Santa Caterina i la Ribera",..,59
